Isolaadid,zb-1,zb-2,zb-3,zb-4,zb-5,zb-6,zb-7
Nor_141,0.1091,0.1351,0.1521,0.2241,0.2381,0.3321,-
Nor_160,0.0681,0.0891,0.1151,0.2071,0.3381,0.4661,-
Nor_131,-0.0109,-0.0089,-0.0039,0.0211,0.0401,0.0491,-
Nor_144,0.0531,0.0761,0.0961,0.1191,0.1571,0.1951,-
Nor_142,0.0081,0.0081,0.0101,0.0441,0.0921,0.1681,-
Nor_143,0.0631,0.0901,0.1191,0.1581,0.1121,0.1631,-
Nor_163,-0.0009,-0.0009,0.0011,0.0241,0.0951,0.1321,-
Nor_159,0.0441,0.0651,0.0871,0.1101,0.1481,0.2241,-
Nor_123,0.0401,0.0701,0.1201,0.2061,0.2281,0.3161,-
Nor_136,0.1171,0.1531,0.1991,0.2691,0.2021,0.2511,-
Nor_164,0.0961,0.1231,0.1631,0.1911,0.2221,0.2861,-
Nor_161,0.0691,0.0921,0.1111,0.1971,0.3541,0.4801,-
Nor_140,0.0601,0.0631,0.0731,0.0731,0.0911,0.1001,-
Nor_156,0.0391,0.0581,0.0941,0.1821,0.2481,0.3221,-
Nor_96,0.0461,0.0781,0.1111,0.1751,0.2731,0.4671,-
Nor_135,0.0741,0.0991,0.1121,0.2031,0.2401,0.2551,-
Nor_120,0.0291,0.0611,0.0591,0.1711,0.2761,0.3891,-
Nor_138,0.0231,0.0481,0.0771,0.1941,0.3421,0.3541,-
Nor_149,0.0821,0.1111,0.1431,0.2201,0.2541,0.2781,-
Nor_128,0.0511,0.0881,0.1161,0.3001,0.4421,0.5121,-
Nor_119,0.0631,0.0841,0.0971,0.1551,0.1571,0.2201,-
Nor_132,0.0861,0.1181,0.1451,0.2161,0.2251,0.2101,-
Nor_153,0.1101,0.1621,0.2101,0.2621,0.3401,0.3921,-
Nor_126,0.0951,0.1261,0.1471,0.2241,0.3081,0.3691,-
Nor_129,0.1051,0.1341,0.1521,0.2021,0.2481,0.2861,-
Nor_127,0.0101,0.0101,0.0121,0.0201,0.0331,0.0901,-
Nor_148,0.2331,0.3191,0.3851,0.4981,0.5021,0.5411,-
Nor_154,0.0601,0.0901,0.1171,0.4151,0.4511,0.4521,-
Nor_87,0.0261,0.0321,0.0471,0.0961,0.1621,0.2591,-
Nor_130,-0.0059,-0.0039,-0.0029,0.0061,0.0381,0.0521,-
Nor_139,-0.0009,0.0021,0.0111,0.1451,0.3101,0.4461,-
Nor_134,0.1831,0.2681,0.3051,0.4131,0.4431,0.4441,-
Nor_162,0.0611,0.0851,0.1091,0.1421,0.1441,0.1201,-
Nor_155,0.0001,0.0011,0.0071,0.1291,0.2841,0.5341,-
Nor_151,0.0041,0.0061,0.0171,0.1481,0.2651,0.4671,-
Nor_158,0.1091,0.1341,0.1641,0.2851,0.5541,0.6021,-
Nor_95,0.0131,0.0161,0.0261,0.1061,0.2311,0.2691,-
Nor_133,0.0141,0.0151,0.0191,0.0391,0.0941,0.1251,-
Cam_60,0.2121,0.3171,0.3801,0.4321,0.3761,0.3681,-
Cam_71,0.1761,0.2141,0.2421,0.3721,0.3971,0.4851,-
Cam_56,0.1611,0.2211,0.2581,0.4051,0.4951,0.5211,-
Cam_75,0.1671,0.2091,0.2371,0.2691,0.3131,0.2761,-
Cam_51,0.1961,0.2351,0.2991,0.4641,0.2771,0.5561,-
Cam_49,0.2081,0.2501,0.2901,0.3961,0.4241,0.4301,-
Cam_47,0.2061,0.2461,0.2971,0.4671,0.4751,0.4381,-
Cam_50,0.1421,0.1911,0.1901,0.3891,0.3821,0.4361,-
Cam_64,0.2001,0.1931,0.2291,0.4821,0.6131,0.4981,-
Cam_78,0.1321,0.1471,0.1851,0.3121,0.5611,0.6111,-
Cam_67,0.1911,0.2171,0.2651,0.3231,0.2851,0.3211,-
Cam_74,0.1701,0.2141,0.2451,0.2321,0.2141,0.2601,-
Cam_63,0.1021,0.1381,0.1841,0.2091,0.1681,0.2051,-
Cam_54,0.1651,0.2161,0.2681,0.4361,0.4271,0.3771,-
Cam_53,0.2141,0.3301,0.3951,0.4451,0.4161,0.4271,-
Amp_88,0.0771,0.1171,0.1521,0.2681,0.3841,0.5071,-
Amp_91,0.1171,0.1481,0.1791,0.2381,0.2641,0.4051,-
Amp_70,0.2311,0.2801,0.3111,0.4041,0.3951,0.4271,-
Amp_93,0.1281,0.1701,0.1941,0.2691,0.3461,0.5801,-
Amp_76,0.1861,0.2151,0.2661,0.3331,0.2371,0.3411,-
Amp_98,0.1601,0.2161,0.2711,0.4301,0.4831,0.6151,-
Amp_85,0.1131,0.1751,0.1711,0.3481,0.4481,0.4001,-
Amp_74,0.1971,0.2381,0.2901,0.4381,0.5101,0.5341,-
Amp_90,0.1241,0.1741,0.2311,0.3961,0.4701,0.5891,-
Amp_72,0.1021,0.1391,0.1821,0.2881,0.2461,0.5771,-
Amp_73,0.1421,0.2111,0.3041,0.3551,0.2691,0.3161,-
Nor_77,0.00202857142857,0.00102857142857,0.00402857142857,0.00802857142857,0.01902857142857,0.05002857142857,0.16402857142857
Nor_70,0.00702857142857,0.00802857142857,0.01102857142857,0.02502857142857,0.06202857142857,0.13002857142857,0.16602857142857
Nor_107,0.03502857142857,0.06802857142857,0.11002857142857,0.21102857142857,0.30602857142857,0.35302857142857,0.42602857142857
Nor_100,0.00502857142857,0.01502857142857,0.03502857142857,0.06802857142857,0.09502857142857,0.11202857142857,0.11702857142857
Nor_114,0.00602857142857,0.00902857142857,0.01102857142857,0.01602857142857,0.03302857142857,0.07602857142857,0.15702857142857
Nor_108,0.07902857142857,0.13302857142857,0.13102857142857,0.20102857142857,0.15202857142857,0.14302857142857,0.12502857142857
Nor_99,0.13702857142857,0.18302857142857,0.22502857142857,0.30702857142857,0.37902857142857,0.38302857142857,0.30202857142857
Nor_110,0.13602857142857,0.18002857142857,0.23202857142857,0.31402857142857,0.35002857142857,0.41102857142857,0.33202857142857
Nor_112,0.13902857142857,0.19302857142857,0.23302857142857,0.39402857142857,0.43202857142857,0.43402857142857,0.36002857142857
Amp_32,0.33602857142857,0.38302857142857,0.42902857142857,0.70802857142857,0.70402857142857,0.66202857142857,0.65402857142857
Amp_48,0.28102857142857,0.32002857142857,0.33502857142857,0.64302857142857,0.56902857142857,0.57502857142857,0.44202857142857
Amp_43,0.31202857142857,0.38302857142857,0.50302857142857,0.65602857142857,0.70702857142857,0.75202857142857,0.79402857142857
Amp_54,0.24902857142857,0.29102857142857,0.32102857142857,0.59502857142857,0.66602857142857,0.65602857142857,0.51902857142857
Amp_35,0.33102857142857,0.33602857142857,0.35402857142857,0.51702857142857,0.55802857142857,0.50302857142857,0.43902857142857
Amp_42,0.26002857142857,0.30802857142857,0.33802857142857,0.45102857142857,0.51502857142857,0.48402857142857,0.33502857142857
Amp_46,0.29502857142857,0.34102857142857,0.36102857142857,0.49402857142857,0.60102857142857,0.55202857142857,0.36302857142857
Amp_55,0.31202857142857,0.33002857142857,0.38902857142857,0.55802857142857,0.57402857142857,0.57002857142857,0.54902857142857
Amp_29,0.29802857142857,0.35902857142857,0.38902857142857,0.68402857142857,0.58302857142857,0.59102857142857,0.42302857142857
Nor_65,0.00402857142857,0.00702857142857,0.01002857142857,0.02002857142857,0.04502857142857,0.07302857142857,0.09502857142857
Nor_68,0.16802857142857,0.21802857142857,0.26302857142857,0.35102857142857,0.42902857142857,0.47202857142857,0.29802857142857
Nor_116,0.00902857142857,0.01102857142857,0.01302857142857,0.02802857142857,0.05702857142857,0.09102857142857,0.11202857142857
Nor_117,0.04302857142857,0.10802857142857,0.18502857142857,0.27402857142857,0.47502857142857,0.61602857142857,0.86102857142857
Nor_85,0.07402857142857,0.11602857142857,0.15602857142857,0.29302857142857,0.41102857142857,0.52702857142857,0.60502857142857
Nor_105,0.07002857142857,0.12802857142857,0.17602857142857,0.30102857142857,0.39002857142857,0.39802857142857,0.18002857142857
Nor_103,0.01802857142857,0.03902857142857,0.05402857142857,0.10602857142857,0.10502857142857,0.13502857142857,0.31902857142857
Nor_83,0.04202857142857,0.05802857142857,0.08102857142857,0.30902857142857,0.52202857142857,0.56702857142857,0.45902857142857
Nor_106,-0.01097142857143,-0.00897142857143,-0.00697142857143,0.00302857142857,0.03202857142857,0.06502857142857,0.10902857142857
Nor_104,0.14602857142857,0.19102857142857,0.21902857142857,0.25902857142857,0.29502857142857,0.23202857142857,0.25402857142857
Nor_76,0.10002857142857,0.14702857142857,0.19602857142857,0.40902857142857,0.61402857142857,0.79502857142857,0.92102857142857
Nor_113,0.00102857142857,0.00602857142857,0.00802857142857,0.02602857142857,0.06202857142857,0.07402857142857,0.11102857142857
Nor_109,0.17202857142857,0.22802857142857,0.27602857142857,0.39102857142857,0.47602857142857,0.53302857142857,0.60202857142857
Nor_94,0.04802857142857,0.07302857142857,0.11002857142857,0.21102857142857,0.36102857142857,0.46102857142857,0.47502857142857
Nor_111,0.01702857142857,0.02502857142857,0.03402857142857,0.08402857142857,0.12902857142857,0.15602857142857,0.16302857142857
Nor_101,0.13702857142857,0.17502857142857,0.22202857142857,0.30302857142857,0.45002857142857,0.55502857142857,0.53202857142857
Nor_90,0.00902857142857,0.01202857142857,0.01502857142857,0.03202857142857,0.06202857142857,0.08702857142857,0.09802857142857
Nor_91,0.05202857142857,0.08202857142857,0.10802857142857,0.21902857142857,0.29902857142857,0.32202857142857,0.33702857142857
Nor_75,0.00402857142857,0.00602857142857,0.00802857142857,0.01602857142857,0.03802857142857,0.06402857142857,0.09602857142857
Nor_66,0.01902857142857,0.03002857142857,0.04002857142857,0.10702857142857,0.15002857142857,0.18602857142857,0.19902857142857
Nor_84,-0.01097142857143,-0.01097142857143,-0.00897142857143,0.04402857142857,0.12702857142857,0.15302857142857,0.20002857142857
Nor_86,0.01102857142857,0.01502857142857,0.02302857142857,0.05102857142857,0.10102857142857,0.11402857142857,0.14702857142857
Nor_80,0.01002857142857,0.01402857142857,0.01702857142857,0.02802857142857,0.05302857142857,0.07802857142857,0.11302857142857
Nor_78,0.15302857142857,0.18202857142857,0.22002857142857,0.31402857142857,0.37102857142857,0.42302857142857,0.42602857142857
Nor_97,0.03602857142857,0.05602857142857,0.08202857142857,0.17602857142857,0.27002857142857,0.31902857142857,0.34702857142857
Nor_88,0.00102857142857,0.00202857142857,0.00402857142857,0.01202857142857,0.06402857142857,0.18602857142857,0.41102857142857
Nor_93,0.14402857142857,0.17802857142857,0.21602857142857,0.29502857142857,0.36302857142857,0.41202857142857,0.33502857142857
Nor_69,0.24002857142857,0.29002857142857,0.37402857142857,0.57402857142857,0.49302857142857,0.52002857142857,0.58502857142857
Nor_73,0.03702857142857,0.08002857142857,0.12502857142857,0.29802857142857,0.58202857142857,0.74802857142857,0.74902857142857
Kan_65,0.14702857142857,0.21902857142857,0.26702857142857,0.36702857142857,0.48602857142857,0.52902857142857,0.50102857142857
Kan_56,0.12302857142857,0.16702857142857,0.20302857142857,0.28302857142857,0.34702857142857,0.30202857142857,0.51602857142857
Kan_47,0.16202857142857,0.20702857142857,0.25502857142857,0.36102857142857,0.44402857142857,0.50502857142857,0.58302857142857
Kan_37,0.15202857142857,0.20102857142857,0.25102857142857,0.35002857142857,0.40802857142857,0.44702857142857,0.46202857142857
Kan_61,0.13202857142857,0.19802857142857,0.25002857142857,0.36202857142857,0.45802857142857,0.51502857142857,0.57002857142857
Kan_40,0.08802857142857,0.12902857142857,0.16302857142857,0.23502857142857,0.30002857142857,0.22802857142857,0.42702857142857
Kan_51,0.07602857142857,0.12802857142857,0.18902857142857,0.33302857142857,0.44102857142857,0.45502857142857,0.50802857142857
Kan_54,0.07902857142857,0.12302857142857,0.14802857142857,0.21202857142857,0.25102857142857,0.28902857142857,0.35802857142857
Amp_39,0.32402857142857,0.36602857142857,0.38402857142857,0.59502857142857,0.71002857142857,0.62902857142857,0.46802857142857
Amp_51,0.24202857142857,0.29002857142857,0.33702857142857,0.56302857142857,0.77802857142857,0.84302857142857,0.79002857142857
Amp_52,0.25802857142857,0.32302857142857,0.32302857142857,0.56302857142857,0.64102857142857,0.51802857142857,0.28802857142857
Amp_66,0.29702857142857,0.30102857142857,0.36802857142857,0.41602857142857,0.42202857142857,0.37702857142857,0.26602857142857
Amp_38,0.25002857142857,0.31602857142857,0.54002857142857,0.72302857142857,0.86202857142857,0.93402857142857,1.00902857142857
Amp_37,0.31402857142857,0.37302857142857,0.40302857142857,0.51502857142857,0.59202857142857,0.62502857142857,0.64102857142857
Amp_33,0.30202857142857,0.36202857142857,0.46402857142857,0.76602857142857,0.86402857142857,0.89802857142857,0.95202857142857
Amp_36,0.27002857142857,0.31702857142857,0.41002857142857,0.70802857142857,0.82302857142857,0.77302857142857,0.79602857142857
Amp_62,0.22202857142857,0.30902857142857,0.38302857142857,0.58002857142857,0.65302857142857,0.64402857142857,0.54902857142857
Amp_61,0.19002857142857,0.27902857142857,0.35702857142857,0.56302857142857,0.65202857142857,0.67602857142857,0.60902857142857
Amp_65,0.29202857142857,0.34302857142857,0.36202857142857,0.54702857142857,0.64102857142857,0.54902857142857,0.36802857142857
Amp_40,0.33102857142857,0.37502857142857,0.39602857142857,0.46402857142857,0.51902857142857,0.48702857142857,0.39902857142857
Amp_49,0.27002857142857,0.30402857142857,0.28602857142857,0.55402857142857,0.65902857142857,0.53602857142857,0.34402857142857
Amp_57,0.25702857142857,0.28602857142857,0.33802857142857,0.59602857142857,0.67602857142857,0.75602857142857,0.86402857142857
Amp_64,0.31502857142857,0.35202857142857,0.38002857142857,0.49302857142857,0.46602857142857,0.52702857142857,0.45502857142857
Amp_63,0.21702857142857,0.24702857142857,0.26302857142857,0.42002857142857,0.44102857142857,0.46602857142857,0.42202857142857
Amp_31,0.34202857142857,0.35902857142857,0.40902857142857,0.74602857142857,0.72902857142857,0.71602857142857,0.63102857142857
Amp_67,0.27102857142857,0.32102857142857,0.39202857142857,0.56502857142857,0.74202857142857,0.66802857142857,0.67502857142857
Amp_47,0.28402857142857,0.28402857142857,0.31902857142857,0.52202857142857,0.70302857142857,0.59402857142857,0.72002857142857
Amp_34,0.27302857142857,0.32802857142857,0.36002857142857,0.52702857142857,0.64502857142857,0.64202857142857,0.55602857142857
Amp_59,0.28202857142857,0.34102857142857,0.36602857142857,0.73002857142857,0.80402857142857,0.76502857142857,0.58202857142857
Amp_56,0.27602857142857,0.33102857142857,0.36102857142857,0.53902857142857,0.54502857142857,0.49602857142857,0.34402857142857
Amp_50,0.32002857142857,0.36102857142857,0.38002857142857,0.57902857142857,0.67002857142857,0.70502857142857,0.59702857142857
Amp_53,0.30602857142857,0.36302857142857,0.40202857142857,0.55902857142857,0.58002857142857,0.62202857142857,0.51602857142857
Amp_58,0.31502857142857,0.37102857142857,0.39802857142857,0.69902857142857,0.58402857142857,0.58502857142857,0.45402857142857
Kan_43,0.15002857142857,0.22502857142857,0.27402857142857,0.35702857142857,0.42902857142857,0.46402857142857,0.50702857142857
Kan_7,0.17962857142857,0.23662857142857,0.27562857142857,0.39162857142857,0.50562857142857,0.57562857142857,-
Nor_49,0.01562857142857,0.02062857142857,0.03562857142857,0.13462857142857,0.16462857142857,0.35162857142857,-
Nor_38,0.12162857142857,0.17662857142857,0.23562857142857,0.35862857142857,0.42162857142857,0.43162857142857,-
Nor_34,0.16462857142857,0.23362857142857,0.26762857142857,0.41762857142857,0.52462857142857,0.51762857142857,-
Nor_18,0.01362857142857,0.02362857142857,0.03362857142857,0.10762857142857,0.16762857142857,0.21662857142857,-
Nor_11,0.16162857142857,0.22962857142857,0.30262857142857,0.45262857142857,0.43262857142857,0.60562857142857,-
Nor_61,0.13962857142857,0.15762857142857,0.19162857142857,0.31262857142857,0.47362857142857,0.63362857142857,-
Nor_56,0.06262857142857,0.09462857142857,0.12362857142857,0.28662857142857,0.38262857142857,0.42962857142857,-
Tet_18,0.16162857142857,0.29062857142857,0.33162857142857,0.48562857142857,0.51262857142857,0.38962857142857,-
Kan_21,-0.00237142857143,0.00062857142857,0.00562857142857,0.07762857142857,0.11962857142857,0.14662857142857,-
Kan_20,0.12262857142857,0.17962857142857,0.21962857142857,0.42862857142857,0.57262857142857,0.62962857142857,-
Kan_6,0.14262857142857,0.21362857142857,0.24962857142857,0.42062857142857,0.43562857142857,0.51262857142857,-
Kan_12,0.16062857142857,0.22562857142857,0.27462857142857,0.40162857142857,0.45662857142857,0.48562857142857,-
Kan_8,0.14662857142857,0.20262857142857,0.26762857142857,0.38762857142857,0.41462857142857,0.44162857142857,-
Nor_27,0.01162857142857,0.02962857142857,0.04862857142857,0.14662857142857,0.22762857142857,0.25062857142857,-
Nor_19,0.17162857142857,0.23062857142857,0.28462857142857,0.43362857142857,0.48462857142857,0.54662857142857,-
Nor_41,0.13162857142857,0.17662857142857,0.21462857142857,0.43262857142857,0.43762857142857,0.44662857142857,-
Nor_44,0.00762857142857,0.02162857142857,0.03662857142857,0.07562857142857,0.12462857142857,0.15362857142857,-
Nor_39,0.26062857142857,0.38262857142857,0.43762857142857,0.51262857142857,0.52262857142857,0.58762857142857,-
Nor_26,0.03062857142857,0.05762857142857,0.08762857142857,0.15262857142857,0.17762857142857,0.18262857142857,-
Nor_20,0.07262857142857,0.11862857142857,0.15362857142857,0.34962857142857,0.41362857142857,0.50462857142857,-
Nor_12,0.06762857142857,0.11762857142857,0.16262857142857,0.57362857142857,0.84162857142857,0.93562857142857,-
Nor_2,0.16262857142857,0.22862857142857,0.29062857142857,0.36562857142857,0.46662857142857,0.48962857142857,-
Nor_59,0.14462857142857,0.19562857142857,0.24662857142857,0.36462857142857,0.52562857142857,0.58062857142857,-
Tet_7,-0.00237142857143,-0.00137142857143,-0.00037142857143,-0.00137142857143,-0.00037142857143,0.00062857142857,-
Nor_31,0.16562857142857,0.22762857142857,0.28162857142857,0.40362857142857,0.52762857142857,0.50662857142857,-
Kan_14,0.00862857142857,0.05462857142857,0.10362857142857,0.29462857142857,0.35362857142857,0.42262857142857,-
Nor_42,0.00662857142857,0.01762857142857,0.04162857142857,0.19562857142857,0.15162857142857,0.28062857142857,-
Nor_37,0.14562857142857,0.19762857142857,0.25562857142857,0.38762857142857,0.45162857142857,0.47962857142857,-
Nor_32,0.15562857142857,0.19762857142857,0.25062857142857,0.41062857142857,0.51662857142857,0.62662857142857,-
Nor_28,0.06962857142857,0.11762857142857,0.16162857142857,0.32962857142857,0.44662857142857,0.51162857142857,-
Nor_6,0.09762857142857,0.16362857142857,0.19862857142857,0.37862857142857,0.39262857142857,0.56062857142857,-
Nor_13,0.23062857142857,0.32662857142857,0.39362857142857,0.62662857142857,0.64262857142857,0.81962857142857,-
Nor_3,0.09462857142857,0.16862857142857,0.23462857142857,0.60462857142857,0.70762857142857,0.92262857142857,-
Nor_57,0.18062857142857,0.20962857142857,0.22862857142857,0.33362857142857,0.44062857142857,0.53762857142857,-
Kan_27,0.12462857142857,0.19962857142857,0.25462857142857,0.39962857142857,0.43462857142857,0.49062857142857,-
Kan_29,0.14362857142857,0.20462857142857,0.25962857142857,0.36062857142857,0.44562857142857,0.44162857142857,-
Nor_10,0.16762857142857,0.21962857142857,0.25662857142857,0.37862857142857,0.50562857142857,0.49962857142857,-
Nor_4,0.10762857142857,0.16062857142857,0.21262857142857,0.37562857142857,0.53462857142857,0.64162857142857,-
Nor_60,0.13762857142857,0.16562857142857,0.21362857142857,0.29962857142857,0.45462857142857,0.52062857142857,-
Tet_10,0.00362857142857,0.01262857142857,0.03662857142857,0.19462857142857,0.33362857142857,0.48462857142857,-
Kan_16,-0.00937142857143,-0.00937142857143,-0.00937142857143,-0.00937142857143,-0.00937142857143,-0.00937142857143,-
Kan_11,0.15962857142857,0.22062857142857,0.29262857142857,0.39662857142857,0.51362857142857,0.46762857142857,-
Nor_48,0.09962857142857,0.13362857142857,0.16462857142857,0.27362857142857,0.14762857142857,0.40662857142857,-
Nor_36,0.04762857142857,0.07062857142857,0.09162857142857,0.17062857142857,0.21462857142857,0.14862857142857,-
Nor_33,0.12862857142857,0.19662857142857,0.26362857142857,0.39162857142857,0.47362857142857,0.53262857142857,-
Nor_1,0.15262857142857,0.21662857142857,0.26362857142857,0.42562857142857,0.46662857142857,0.55162857142857,-
Nor_58,0.15862857142857,0.18562857142857,0.22062857142857,0.33962857142857,0.50162857142857,0.52462857142857,-
Nor_7,0.02962857142857,0.04662857142857,0.06662857142857,0.22762857142857,0.32762857142857,0.37662857142857,-
Nor_53,0.09162857142857,0.15962857142857,0.21562857142857,0.62462857142857,0.78462857142857,0.84562857142857,-
Kan_3,0.12762857142857,0.18462857142857,0.24562857142857,0.40462857142857,0.43962857142857,0.44562857142857,-
Kan_30,0.15062857142857,0.20962857142857,0.25762857142857,0.37962857142857,0.42662857142857,0.46962857142857,-
Kan_18,0.15162857142857,0.21462857142857,0.28662857142857,0.42862857142857,0.54062857142857,0.54762857142857,-
Kan_31,0.11762857142857,0.19062857142857,0.23662857142857,0.28562857142857,0.29162857142857,0.30162857142857,-
Cam_4,-0.00337142857143,-0.00337142857143,-0.00337142857143,-0.00237142857143,-0.00237142857143,-0.00237142857143,-
Cam_1,-0.00037142857143,-0.00037142857143,-0.00037142857143,-0.00037142857143,-0.00037142857143,-0.00037142857143,-
Tet_11,0.31762857142857,0.35162857142857,0.40362857142857,0.60162857142857,0.60562857142857,0.63762857142857,-
Cam_6,0.11762857142857,0.20562857142857,0.27662857142857,0.42462857142857,0.50962857142857,0.58762857142857,-
Cam_17,0.22162857142857,0.30062857142857,0.35062857142857,0.54762857142857,0.70962857142857,0.76562857142857,-
Kan_26,0.12662857142857,0.18362857142857,0.23362857142857,0.40862857142857,0.52762857142857,0.57762857142857,-
Tet_8,0.26362857142857,0.30362857142857,0.30862857142857,0.41062857142857,0.32262857142857,0.37862857142857,-
Tet_12,0.23262857142857,0.28962857142857,0.30762857142857,0.41762857142857,0.36562857142857,0.39862857142857,-
Tet_9,0.06562857142857,0.09362857142857,0.12362857142857,0.44262857142857,0.52962857142857,0.52262857142857,-
Kan_4,0.14762857142857,0.23262857142857,0.31362857142857,0.45362857142857,0.54662857142857,0.58962857142857,-
Kan_28,0.23762857142857,0.30262857142857,0.36262857142857,0.51962857142857,0.65862857142857,0.72062857142857,-
Kan_25,0.20062857142857,0.28962857142857,0.34062857142857,0.52362857142857,0.54162857142857,0.66862857142857,-
Kan_24,0.22962857142857,0.30862857142857,0.36862857142857,0.53362857142857,0.67362857142857,0.75162857142857,-
Kan_17,0.19862857142857,0.26062857142857,0.30362857142857,0.42562857142857,0.44262857142857,0.57162857142857,-
Kan_33,0.26162857142857,0.33262857142857,0.38962857142857,0.58362857142857,0.71262857142857,0.80362857142857,-
Kan_2,0.22062857142857,0.32462857142857,0.39862857142857,0.63462857142857,0.74562857142857,0.77462857142857,-
